date,score,phase,n_indicators
2017-09-27,36.0,2,11
2017-09-28,36.0,2,11
2017-09-29,36.0,2,11
2017-10-02,36.0,2,11
2017-10-03,36.0,2,11
2017-10-04,36.0,2,11
2017-10-05,36.0,2,11
2017-10-06,36.0,2,11
2017-10-09,36.0,2,11
2017-10-10,36.0,2,11
2017-10-11,36.0,2,11
2017-10-12,36.0,2,11
2017-10-13,36.0,2,11
2017-10-16,36.0,2,11
2017-10-17,36.0,2,11
2017-10-18,36.0,2,11
2017-10-19,36.0,2,11
2017-10-20,36.0,2,11
2017-10-23,36.0,2,11
2017-10-24,36.0,2,11
2017-10-25,36.0,2,11
2017-10-26,36.0,2,11
2017-10-27,36.0,2,11
2017-10-30,36.0,2,11
2017-10-31,36.0,2,11
2017-11-01,36.0,2,11
2017-11-02,36.0,2,11
2017-11-03,36.0,2,11
2017-11-06,36.0,2,11
2017-11-07,36.0,2,11
2017-11-08,36.0,2,11
2017-11-09,36.0,2,11
2017-11-10,36.0,2,11
2017-11-13,36.0,2,11
2017-11-14,36.0,2,11
2017-11-15,36.0,2,11
2017-11-16,36.0,2,11
2017-11-17,36.0,2,11
2017-11-20,36.0,2,11
2017-11-21,36.0,2,11
2017-11-22,36.0,2,11
2017-11-24,36.0,2,11
2017-11-27,36.0,2,11
2017-11-28,36.0,2,11
2017-11-29,36.0,2,11
2017-11-30,36.0,2,11
2017-12-01,36.0,2,11
2017-12-04,36.0,2,11
2017-12-05,36.0,2,11
2017-12-06,36.0,2,11
2017-12-07,36.0,2,11
2017-12-08,36.0,2,11
2017-12-11,36.0,2,11
2017-12-12,36.0,2,11
2017-12-13,36.0,2,11
2017-12-14,36.0,2,11
2017-12-15,36.0,2,11
2017-12-18,36.0,2,11
2017-12-19,36.0,2,11
2017-12-20,36.0,2,11
2017-12-21,43.0,2,11
2017-12-22,43.0,2,11
2017-12-26,43.0,2,11
2017-12-27,43.0,2,11
2017-12-28,43.0,2,11
2017-12-29,43.0,2,11
2018-01-02,44.0,2,13
2018-01-03,44.0,2,13
2018-01-04,44.0,2,13
2018-01-05,37.0,2,13
2018-01-08,44.0,2,13
2018-01-09,44.0,2,13
2018-01-10,44.5,2,14
2018-01-11,52.5,2,14
2018-01-12,44.5,2,14
2018-01-16,52.5,2,14
2018-01-17,52.5,2,14
2018-01-18,52.5,2,14
2018-01-19,52.5,2,14
2018-01-22,52.5,2,14
2018-01-23,52.5,2,14
2018-01-24,68.5,3,14
2018-01-25,68.5,3,14
2018-01-26,68.5,3,14
2018-01-29,68.5,3,14
2018-01-30,68.5,3,14
2018-01-31,68.5,3,14
2018-02-01,84.5,3,14
2018-02-02,84.5,3,14
2018-02-05,99.5,3,14
2018-02-06,91.5,3,14
2018-02-07,75.5,3,14
2018-02-08,75.5,3,14
